	ID	IDC	MT_TOT	PMG	RECENCE
189	189	1076	2420.5	3. M	3
190	190	1077	21.0	4. P	19
191	191	1078	430.5	4. P	5
192	192	1080	19124.5	2. G	0
193	193	1081	318.0	4. P	10
194	194	1084	6814.5	3. M	0
195	195	1085	8200.35	3. M	10
196	196	1086	156.5	4. P	14
197	197	1087	4667.7	3. M	1
198	198	1088	36801.9	2. G	3
199	199	1090	345.5	4. P	1
200	200	1091	2344.5	3. M	0
201	201	1094	15.0	4. P	20
202	202	1096	110.5	4. P	8
203	203	1097	1251.5	4. P	1
204	204	1098	38524.6	2. G	0
205	205	1099	3571.5	3. M	1
206	206	1101	1057.4	4. P	7
207	207	1102	3667.0	3. M	6
208	208	1103	144.0	4. P	10
209	209	1104	26381.25	2. G	0
210	210	1105	9300.55	3. M	0
211	211	1106	5168.5	3. M	2
212	212	1107	509.0	4. P	0
213	213	1108	1099.0	4. P	18
214	214	1110	3321.5	3. M	0
215	215	1113	21635.0	2. G	0
216	216	1115	147529.0	1. TG	0
217	217	1116	3646.0	3. M	0
218	218	1118	105.0	4. P	13
219	219	1119	609.0	4. P	18
220	220	1120	22982.0	2. G	0
221	221	1124	20850.0	2. G	0
222	222	1125	13671.5	2. G	0
223	223	1126	15.0	4. P	19
224	224	1129	6516.5	3. M	0
225	225	1132	20.0	4. P	6
226	226	1133	2819.0	3. M	1
227	227	1137	496.5	4. P	0
228	228	1140	36.5	4. P	13
229	229	1142	2829.0	3. M	8
230	230	1143	311.5	4. P	16
231	231	1144	6889.0	3. M	0
232	232	1145	1221.5	4. P	0
233	233	1147	24163.0	2. G	15
234	234	1153	97756.7	1. TG	0
235	235	1154	8560.5	3. M	0
236	236	1156	10987.0	2. G	0
237	237	1157	251.0	4. P	0
238	238	1165	137.5	4. P	0
239	239	1166	37459.75	2. G	0
240	240	1167	91.0	4. P	15
241	241	1169	3087.5	3. M	0
242	242	1170	10.0	4. P	17
243	243	1171	4504.7	3. M	1
244	244	1172	1990.5	3. M	9
245	245	1174	7302.0	3. M	0
246	246	1175	511.5	4. P	1
247	247	1176	698.5	4. P	0
248	248	1177	4665.0	3. M	0
249	249	1178	1645.0	3. M	11
250	250	1179	2199.5	3. M	0
251	251	1180	162.5	4. P	0
252	252	1181	6341.5	3. M	0
253	253	1182	111.0	4. P	11
