ID,index,IDC,MT_TOT,NB,KEYMAX,KEYMIN,"('KEY2', 'KEY2MAX')","('KEY2', 'KEY2MIN')",2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,PMG,PMG2,REC,RECENCE
465,465,1630,914.5,406,2014-11-01,2014-01-01,24179,24169,,,,,,,,,,,,69.0,84.5,103.5,93.5,41.0,33.0,114.0,110.0,115.5,79.5,71.0,23.0,10.0,238.0,374.0,4.0,63.0,,,12.0,,129.0,61.5,,,,4. P,4,4,0
466,466,1631,53.5,24,2014-01-01,2013-12-01,24169,24168,,,,,,,,,,,51.5,2.0,,,,,,,,,,,6.0,2.0,1.0,,,,,2.0,3.0,14.0,,,17.5,8.0,,4. P,4,2,10
467,467,1632,14.0,4,2013-12-01,2013-12-01,24168,24168,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,4.0,,,10.0,,,4. P,4,2,11
468,468,1634,37.0,21,2014-03-01,2013-12-01,24171,24168,,,,,,,,,,,24.5,,,12.5,,,,,,,,,,,,,,,,5.0,10.5,18.0,3.5,,,,,4. P,4,2,8
469,469,1636,1137.0,897,2014-11-01,2013-12-01,24179,24168,,,,,,,,,,,26.0,,36.0,26.5,71.5,31.5,4.5,30.0,158.0,438.0,224.5,90.5,774.5,101.0,4.5,11.0,16.0,180.0,0.5,9.5,,,20.0,,,,20.0,4. P,4,4,0
470,470,1637,4.5,5,2013-12-01,2013-12-01,24168,24168,,,,,,,,,,,4.5,,,,,,,,,,,,2.0,2.0,,,0.5,,,,,,,,,,,4. P,4,2,11
471,471,1639,850.5,400,2014-11-01,2013-12-01,24179,24168,,,,,,,,,,,189.5,39.5,45.0,85.0,79.0,102.0,69.0,33.0,38.0,92.5,51.0,27.0,331.0,404.0,4.0,13.5,27.5,,1.0,19.5,,8.0,1.0,40.0,,1.0,,4. P,4,4,0
472,472,1641,203.5,38,2014-11-01,2013-12-01,24179,24168,,,,,,,,,,,48.0,,,,,,49.5,44.0,,26.0,26.5,9.5,61.0,34.0,22.5,,14.0,9.0,,2.0,,34.0,3.0,24.0,,,,4. P,4,4,0
473,473,1642,559.5,65,2014-01-01,2013-12-01,24169,24168,,,,,,,,,,,169.0,390.5,,,,,,,,,,,,,,13.5,,,,,,,,546.0,,,,4. P,4,2,10
474,474,1643,1270.0,1039,2014-11-01,2013-12-01,24179,24168,,,,,,,,,,,144.5,300.0,230.0,0.5,,,42.5,179.0,117.0,41.0,125.0,90.5,373.0,473.0,169.0,232.0,2.0,,,,5.5,,,9.0,6.5,,,4. P,4,4,0
