ID,IDC,MT_TOT,PMG,RECENCE
158,1020,22402.0,2. G,0
159,1021,14.0,4. P,19
160,1024,1909.0,3. M,17
161,1026,2201.0,3. M,0
162,1027,36934.5,2. G,0
163,1028,1000.0,4. P,20
164,1029,7415.75,3. M,5
165,1035,3308.0,3. M,10
166,1036,3641.0,3. M,0
167,1037,5455.7,3. M,0
168,1038,694.7,4. P,20
169,1042,3037.0,3. M,0
170,1043,50559.0,1. TG,0
171,1046,157.5,4. P,9
172,1049,4011.0,3. M,0
173,1052,15.0,4. P,9
174,1053,77.5,4. P,0
175,1054,117.5,4. P,15
176,1055,4515.05,3. M,0
177,1056,72.5,4. P,17
178,1059,841.0,4. P,0
179,1061,2125.5,3. M,4
180,1062,5136.0,3. M,2
181,1064,180401.5,1. TG,0
182,1065,288.5,4. P,6
183,1066,746.0,4. P,15
184,1067,18236.6,2. G,0
185,1068,206.6,4. P,11
186,1069,2415.0,3. M,14
187,1072,9402.5,3. M,0
188,1075,265.0,4. P,1
189,1076,2420.5,3. M,3
190,1077,21.0,4. P,19
191,1078,430.5,4. P,5
192,1080,19124.5,2. G,0
193,1081,318.0,4. P,10
194,1084,6814.5,3. M,0
195,1085,8200.35,3. M,10
196,1086,156.5,4. P,14
197,1087,4667.7,3. M,1
198,1088,36801.9,2. G,3
199,1090,345.5,4. P,1
200,1091,2344.5,3. M,0
201,1094,15.0,4. P,20
202,1096,110.5,4. P,8
203,1097,1251.5,4. P,1
204,1098,38524.6,2. G,0
205,1099,3571.5,3. M,1
206,1101,1057.4,4. P,7
207,1102,3667.0,3. M,6
208,1103,144.0,4. P,10
209,1104,26381.25,2. G,0
210,1105,9300.55,3. M,0
211,1106,5168.5,3. M,2
212,1107,509.0,4. P,0
213,1108,1099.0,4. P,18
214,1110,3321.5,3. M,0
215,1113,21635.0,2. G,0
216,1115,147529.0,1. TG,0
217,1116,3646.0,3. M,0
218,1118,105.0,4. P,13
219,1119,609.0,4. P,18
220,1120,22982.0,2. G,0
221,1124,20850.0,2. G,0
222,1125,13671.5,2. G,0
223,1126,15.0,4. P,19
224,1129,6516.5,3. M,0
225,1132,20.0,4. P,6
226,1133,2819.0,3. M,1
227,1137,496.5,4. P,0
228,1140,36.5,4. P,13
229,1142,2829.0,3. M,8
230,1143,311.5,4. P,16
231,1144,6889.0,3. M,0
232,1145,1221.5,4. P,0
233,1147,24163.0,2. G,15
234,1153,97756.7,1. TG,0
235,1154,8560.5,3. M,0
236,1156,10987.0,2. G,0
237,1157,251.0,4. P,0
238,1165,137.5,4. P,0
239,1166,37459.75,2. G,0
240,1167,91.0,4. P,15
241,1169,3087.5,3. M,0
242,1170,10.0,4. P,17
243,1171,4504.7,3. M,1
244,1172,1990.5,3. M,9
245,1174,7302.0,3. M,0
246,1175,511.5,4. P,1
247,1176,698.5,4. P,0
248,1177,4665.0,3. M,0
249,1178,1645.0,3. M,11
250,1179,2199.5,3. M,0
251,1180,162.5,4. P,0
252,1181,6341.5,3. M,0
253,1182,111.0,4. P,11
254,1183,2039.5,3. M,0
255,1185,277.0,4. P,0
256,1186,3186.5,3. M,1
257,1187,788.0,4. P,1
258,1188,13.0,4. P,13
259,1189,81.0,4. P,17
260,1190,250.0,4. P,1
261,1191,75.0,4. P,6
262,1193,492.0,4. P,6
263,1194,59453.0,1. TG,0
264,1202,1166.0,4. P,0
265,1203,19644.5,2. G,0
266,1204,4131.5,3. M,0
267,1206,5079.0,3. M,0
268,1207,12439.0,2. G,0
269,1208,39527.0,2. G,0
270,1209,335.25,4. P,16
271,1210,7118.75,3. M,13
272,1216,170.0,4. P,6
273,1217,1217.5,4. P,0
274,1226,328.5,4. P,5
275,1227,61.0,4. P,7
276,1230,634.0,4. P,0
277,1237,4930.5,3. M,0
278,1238,6011.0,3. M,7
279,1239,8785.5,3. M,0
280,1248,24740.0,2. G,0
281,1249,4428.0,3. M,0
282,1251,125.0,4. P,0
283,1256,100.0,4. P,16
284,1258,103.0,4. P,16
285,1259,224.0,4. P,0
286,1263,224.0,4. P,0
287,1266,6009.65,3. M,0
288,1267,4381.0,3. M,0
289,1268,2042.5,3. M,2
290,1271,1057.0,4. P,3
291,1272,10363.5,3. M,0
292,1274,412.0,4. P,0
293,1279,86.5,4. P,8
294,1281,16727.5,2. G,1
295,1282,439.5,4. P,12
296,1283,596.5,4. P,0
297,1287,399.0,4. P,15
298,1290,55.0,4. P,16
299,1299,250.5,4. P,0
300,1300,119.0,4. P,16
301,1302,387.0,4. P,0
302,1303,775.5,4. P,2
303,1304,167.0,4. P,8
304,1305,16.0,4. P,16
305,1308,24.0,4. P,16
306,1311,31.6,4. P,16
307,1312,2685.0,3. M,0
308,1314,3065.35,3. M,1
309,1315,22722.5,2. G,0
310,1316,6518.5,3. M,0
311,1317,2399.5,3. M,0
312,1318,645.5,4. P,15
313,1320,38.0,4. P,13
314,1321,1265.5,4. P,1
315,1323,162.5,4. P,0
316,1325,40.0,4. P,4
317,1326,187.5,4. P,12
318,1328,2816.0,3. M,3
319,1329,855.5,4. P,0
320,1331,8.5,4. P,15
321,1336,1191.0,4. P,0
322,1338,4060.0,3. M,0
323,1339,11518.5,2. G,0
324,1342,239.0,4. P,1
325,1347,724.0,4. P,13
326,1348,75698.5,1. TG,0
327,1349,1212.5,4. P,0
328,1350,3.0,4. P,2
329,1352,6446.5,3. M,3
330,1355,171.0,4. P,0
331,1356,609.5,4. P,0
332,1359,3835.0,3. M,9
333,1361,1735.5,3. M,0
334,1362,1794.0,3. M,15
335,1364,21560.5,2. G,5
336,1365,33.0,4. P,0
337,1366,9.5,4. P,14
338,1367,324.4,4. P,14
339,1369,5705.15,3. M,0
340,1370,185.0,4. P,15
341,1371,104.0,4. P,10
342,1372,1052.0,4. P,0
343,1374,638.0,4. P,0
344,1375,11.5,4. P,9
345,1376,30.0,4. P,9
346,1377,2840.5,3. M,4
347,1378,97.0,4. P,15
348,1379,238.5,4. P,14
349,1380,122.5,4. P,0
350,1381,44.0,4. P,15
351,1382,15.0,4. P,15
352,1385,2086.5,3. M,1
353,1386,120.0,4. P,2
354,1393,78.0,4. P,15
355,1394,5770.5,3. M,2
356,1396,661.5,4. P,7
357,1398,101.5,4. P,14
358,1399,20.5,4. P,15
359,1400,7.0,4. P,14
360,1401,264316.5,1. TG,0
361,1402,25.0,4. P,13
362,1404,8957.7,3. M,0
363,1406,2.0,4. P,15
364,1408,4588.0,3. M,0
365,1409,67.0,4. P,1
366,1410,5713.5,3. M,0
367,1414,199.0,4. P,10
368,1416,312.0,4. P,9
369,1420,39.0,4. P,11
370,1422,315.5,4. P,1
371,1423,68.5,4. P,14
372,1425,396.2,4. P,5
373,1428,33.0,4. P,14
374,1429,33.0,4. P,14
375,1432,8508.5,3. M,1
376,1434,2345.0,3. M,0
377,1435,19762.0,2. G,5
378,1436,322.0,4. P,0
379,1438,5945.5,3. M,0
380,1439,13.0,4. P,14
381,1441,1180.5,4. P,0
382,1442,3674.5,3. M,0
383,1448,1152.5,4. P,6
384,1449,98959.5,1. TG,0
385,1450,7093.0,3. M,0
386,1451,375.0,4. P,8
387,1456,50.0,4. P,14
388,1459,1173.5,4. P,12
389,1461,62.0,4. P,1
390,1462,2339.5,3. M,2
391,1466,80.0,4. P,11
392,1468,6095.0,3. M,0
393,1469,11579.5,2. G,0
394,1471,13209.5,2. G,0
395,1472,31.5,4. P,13
396,1473,1371.0,4. P,0
397,1475,18.0,4. P,13
398,1477,979.0,4. P,3
399,1478,1073.0,4. P,0
400,1483,1111.5,4. P,10
401,1486,1249.0,4. P,1
402,1487,1678.5,3. M,9
403,1494,29.5,4. P,9
404,1495,4387.5,3. M,0
405,1496,41.5,4. P,13
406,1497,2353.6,3. M,0
407,1498,6316.5,3. M,0
408,1499,3680.4,3. M,0
409,1502,212.5,4. P,0
410,1507,1469.5,4. P,0
411,1510,1263.6,4. P,0
412,1511,147.0,4. P,13
413,1512,1042.0,4. P,0
414,1522,1430.0,4. P,0
415,1530,393.7,4. P,9
416,1533,17.5,4. P,12
417,1534,580.5,4. P,1
418,1535,6645.0,3. M,0
419,1536,10967.5,2. G,0
420,1538,540.1,4. P,1
421,1539,487.5,4. P,12
422,1543,16948.5,2. G,8
423,1544,2272.5,3. M,0
424,1548,850.0,4. P,8
425,1549,193.0,4. P,1
426,1550,159245.0,1. TG,9
427,1551,999.0,4. P,8
428,1552,188.5,4. P,12
429,1553,4196.5,3. M,0
430,1554,60.0,4. P,7
431,1555,20.0,4. P,0
432,1556,6451.5,3. M,0
433,1557,3251.0,3. M,9
434,1558,127.5,4. P,11
435,1559,77.5,4. P,12
436,1566,2725.0,3. M,0
437,1567,3304.5,3. M,2
438,1569,15428.0,2. G,0
439,1571,10.5,4. P,9
440,1573,614.0,4. P,8
441,1574,696.0,4. P,0
442,1577,193.5,4. P,12
443,1578,1289655.0,1. TG,0
444,1584,52693.0,1. TG,0
445,1585,2341.5,3. M,1
446,1588,51.5,4. P,6
447,1589,29731.0,2. G,8
448,1600,2072.75,3. M,0
449,1601,90.0,4. P,8
450,1602,1377.0,4. P,0
451,1604,20.0,4. P,0
452,1606,123.0,4. P,1
453,1608,58.5,4. P,11
454,1612,5437.0,3. M,0
455,1614,411.5,4. P,1
456,1615,131908.0,1. TG,0
457,1616,7638.0,3. M,0
458,1618,514.6,4. P,0
459,1619,707.5,4. P,6
460,1621,590.0,4. P,11
461,1623,51.5,4. P,11
462,1625,720.5,4. P,2
463,1627,877.5,4. P,0
464,1628,74.0,4. P,11
465,1630,914.5,4. P,0
466,1631,53.5,4. P,10
467,1632,14.0,4. P,11
468,1634,37.0,4. P,8
469,1636,1137.0,4. P,0
470,1637,4.5,4. P,11
471,1639,850.5,4. P,0
472,1641,203.5,4. P,0
473,1642,559.5,4. P,10
474,1643,1270.0,4. P,0
475,1645,217.0,4. P,8
476,1646,63.5,4. P,6
477,1648,3200.5,3. M,0
478,1650,49.0,4. P,11
479,1651,177.0,4. P,3
480,1652,710.0,4. P,0
481,1653,19795.0,2. G,0
482,1654,70.0,4. P,3
483,1655,41.0,4. P,10
484,1656,24.0,4. P,8
485,1657,29.0,4. P,9
486,1659,790.5,4. P,7
487,1660,13.0,4. P,8
488,1661,42.0,4. P,4
489,1663,5579.5,3. M,0
490,1664,1066.0,4. P,8
491,1666,1364.0,4. P,10
492,1667,1011.0,4. P,11
493,1668,183.0,4. P,8
494,1669,23.0,4. P,11
495,1671,385.5,4. P,0
496,1672,2270.0,3. M,0
497,1673,10077.0,3. M,0
498,1674,403.0,4. P,9
499,1676,165.0,4. P,10
500,1678,4.0,4. P,5
501,1679,72.5,4. P,8
502,1680,375.0,4. P,11
503,1682,286.4,4. P,0
504,1683,8068.5,3. M,0
505,1684,11.0,4. P,11
506,1685,4142.5,3. M,0
507,1687,13.0,4. P,11
508,1688,1390.0,4. P,2
509,1689,141.0,4. P,0
510,1690,742.0,4. P,7
511,1692,825.5,4. P,4
512,1694,2223.5,3. M,6
513,1695,1789.0,3. M,0
514,1696,259.0,4. P,3
515,1697,51.0,4. P,11
516,1698,617.0,4. P,1
517,1700,25.0,4. P,11
518,1701,113.0,4. P,11
519,1702,12284.5,2. G,0
520,1703,10.0,4. P,11
521,1705,10.0,4. P,11
522,1706,2080.5,3. M,5
523,1707,315.0,4. P,5
524,1708,360.0,4. P,0
525,1709,732.0,4. P,6
526,1710,758.5,4. P,3
527,1711,55.0,4. P,7
528,1712,268.5,4. P,1
529,1713,10.0,4. P,10
530,1715,339.0,4. P,9
531,1717,29.5,4. P,11
532,1719,736.0,4. P,0
533,1720,3239.0,3. M,9
534,1722,417.0,4. P,7
535,1723,657.0,4. P,3
536,1724,10.0,4. P,11
537,1725,29.0,4. P,11
538,1726,149.5,4. P,10
539,1727,122.0,4. P,10
540,1728,45.5,4. P,11
541,1729,1804.6,3. M,8
542,1730,2363.0,3. M,6
543,1732,8107.6,3. M,0
544,1733,7.5,4. P,9
545,1734,10.0,4. P,11
546,1735,7480.05,3. M,0
547,1736,225.5,4. P,10
548,1737,18.0,4. P,11
549,1738,34631.0,2. G,0
550,1739,6969.0,3. M,0
551,1741,9589.5,3. M,0
552,1742,36.5,4. P,11
553,1743,40.5,4. P,9
554,1744,97.5,4. P,10
555,1745,794.5,4. P,1
556,1746,8.0,4. P,10
557,1747,86.0,4. P,10
558,1749,673.0,4. P,1
559,1750,21855.5,2. G,0
560,1752,844.5,4. P,0
561,1753,235.5,4. P,9
562,1754,41.5,4. P,10
563,1755,2.0,4. P,10
564,1757,55.0,4. P,9
565,1758,284.0,4. P,7
566,1759,7.5,4. P,10
567,1760,1006.5,4. P,0
568,1762,62.0,4. P,9
569,1763,10.5,4. P,10
570,1764,6231.5,3. M,0
571,1765,478.0,4. P,0
572,1766,214.1,4. P,9
573,1768,233.5,4. P,8
574,1769,60.0,4. P,10
575,1770,548.5,4. P,10
576,1771,423.0,4. P,1
577,1772,87.0,4. P,10
578,1773,1969.0,3. M,10
579,1775,14.0,4. P,10
580,1776,24.0,4. P,10
581,1777,8.5,4. P,10
582,1778,26.0,4. P,10
583,1779,10.0,4. P,10
584,1780,10.0,4. P,10
585,1781,4.5,4. P,10
586,1782,3435.5,3. M,0
587,1783,47170.5,2. G,7
588,1784,29433.5,2. G,0
589,1786,770.0,4. P,2
590,1787,3913.5,3. M,0
591,1788,70.5,4. P,7
592,1789,24205.5,2. G,2
593,1790,90.0,4. P,8
594,1791,9902.5,3. M,0
595,1793,52.5,4. P,10
596,1795,714.0,4. P,0
597,1796,42.0,4. P,10
598,1797,10.0,4. P,10
599,1798,9276.45,3. M,0
600,1799,13.0,4. P,10
601,1800,437.0,4. P,0
602,1801,903.5,4. P,9
603,1802,758.0,4. P,0
604,1803,10.0,4. P,10
605,1804,568.0,4. P,3
606,1805,1156.5,4. P,0
607,1806,60.5,4. P,10
608,1807,178.5,4. P,8
609,1810,10.0,4. P,10
610,1811,173.0,4. P,4
611,1812,9511.5,3. M,2
612,1815,10.0,4. P,10
613,1816,58.0,4. P,0
614,1817,618.5,4. P,8
615,1818,2283.5,3. M,0
616,1821,35.0,4. P,9
617,1823,813.5,4. P,4
618,1824,3943.5,3. M,2
619,1825,19.0,4. P,10
620,1826,704.0,4. P,0
621,1827,3647.5,3. M,9
622,1828,40.5,4. P,10
623,1830,17.0,4. P,10
624,1831,95.0,4. P,9
625,1832,17.5,4. P,10
626,1833,3940.5,3. M,8
627,1835,20.0,4. P,10
628,1837,8591.0,3. M,0
629,1838,215.0,4. P,10
630,1839,17.0,4. P,10
631,1840,806.0,4. P,3
632,1841,337.5,4. P,1
633,1842,377.0,4. P,1
634,1844,52.5,4. P,10
635,1845,629.5,4. P,1
636,1848,28.5,4. P,10
637,1849,153.0,4. P,10
638,1850,10771.0,2. G,0
639,1851,1914.0,3. M,0
640,1852,248.0,4. P,10
641,1853,178.5,4. P,0
642,1854,23286.95,2. G,0
643,1855,241.5,4. P,3
644,1856,8.0,4. P,10
645,1857,7489.5,3. M,7
646,1858,75.0,4. P,9
647,1859,13.5,4. P,10
648,1860,10716.0,2. G,6
649,1861,157.65,4. P,10
650,1862,91.5,4. P,9
651,1863,101.0,4. P,5
652,1864,38.5,4. P,10
653,1865,969.5,4. P,10
654,1866,345.0,4. P,9
655,1867,1735.0,3. M,0
656,1868,609.0,4. P,5
657,1869,5717.7,3. M,0
658,1870,46.5,4. P,8
659,1871,2860.0,3. M,0
660,1872,2543.0,3. M,0
661,1873,377.0,4. P,6
662,1875,256.5,4. P,9
663,1876,1062.9,4. P,0
664,1877,10.0,4. P,10
665,1878,10.0,4. P,10
666,1879,356.0,4. P,7
667,1881,2.0,4. P,10
668,1882,159.1,4. P,9
669,1883,120.0,4. P,2
670,1884,302.0,4. P,0
671,1885,2484.85,3. M,0
672,1886,45.5,4. P,9
673,1887,14.0,4. P,10
674,1889,47.0,4. P,9
675,1890,63.5,4. P,7
676,1891,103.0,4. P,9
677,1892,10.0,4. P,10
678,1893,8.0,4. P,10
679,1894,1162.0,4. P,2
680,1895,2.5,4. P,10
681,1897,10.0,4. P,10
682,1898,111.0,4. P,10
683,1899,49.0,4. P,1
684,1900,393.5,4. P,0
685,1901,200.0,4. P,8
686,1902,341.5,4. P,0
687,1904,10.0,4. P,10
688,1905,39.5,4. P,10
689,1906,115.0,4. P,9
690,1907,10.0,4. P,10
691,1908,922.5,4. P,3
692,1909,7831.5,3. M,3
693,1910,151.5,4. P,8
694,1911,10.0,4. P,7
695,1912,6797.7,3. M,0
696,1914,11137.4,2. G,0
697,1916,10.0,4. P,10
698,1918,5403.5,3. M,0
699,1919,3993.5,3. M,0
700,1920,18.0,4. P,10
701,1922,20.0,4. P,10
702,1924,203.0,4. P,7
703,1925,8.5,4. P,9
704,1926,227.5,4. P,6
705,1927,9796.5,3. M,0
706,1928,785.5,4. P,0
707,1929,36.5,4. P,10
708,1930,2168.0,3. M,0
709,1931,107.0,4. P,3
710,1933,26322.0,2. G,5
711,1934,41.0,4. P,10
712,1936,472.5,4. P,0
713,1937,10.0,4. P,10
714,1938,38.0,4. P,10
715,1939,9.0,4. P,10
716,1940,71.0,4. P,10
717,1941,10.0,4. P,10
718,1942,19.0,4. P,10
719,1943,10.0,4. P,10
720,1944,446.5,4. P,5
721,1945,30.0,4. P,9
722,1947,148.5,4. P,3
723,1948,383.5,4. P,9
724,1949,1779.5,3. M,0
725,1950,505.5,4. P,0
726,1951,2359.0,3. M,0
727,1952,10.5,4. P,10
728,1953,21.0,4. P,10
729,1954,1202.5,4. P,8
730,1955,265.5,4. P,9
731,1956,473.0,4. P,1
732,1957,15.5,4. P,10
733,1958,16682.5,2. G,3
734,1959,3584.5,3. M,0
735,1960,221.0,4. P,8
736,1961,10075.0,3. M,3
737,1962,432.5,4. P,1
738,1963,10.0,4. P,10
739,1964,37.5,4. P,10
740,1965,10.0,4. P,9
741,1966,495.35,4. P,0
742,1967,29.0,4. P,9
743,1968,150.0,4. P,9
744,1971,33.5,4. P,9
745,1972,451.0,4. P,4
746,1973,22.5,4. P,10
747,1974,98.5,4. P,9
748,1975,535.2,4. P,8
749,1978,1235.0,4. P,2
750,1979,326.5,4. P,9
751,1981,3215.0,3. M,1
752,1982,898.5,4. P,0
753,1983,1979.0,3. M,0
754,1984,121.0,4. P,2
755,1985,92.0,4. P,8
756,1986,297.5,4. P,8
757,1987,23.0,4. P,9
758,1988,51.0,4. P,9
759,1989,57.0,4. P,1
760,1990,138.5,4. P,6
761,1991,1567.0,4. P,0
762,1992,189.5,4. P,9
763,1993,28.0,4. P,9
764,1994,1295.0,4. P,0
765,1996,346.0,4. P,8
766,1998,10.0,4. P,9
767,1999,22.5,4. P,9
768,2000,16.0,4. P,9
769,2001,14.0,4. P,9
770,2002,6.0,4. P,9
771,2003,10.0,4. P,9
772,2006,7087.6,3. M,0
773,2008,26.5,4. P,9
774,2009,10.0,4. P,9
775,2010,424.0,4. P,9
776,2011,33.5,4. P,9
777,2013,40.0,4. P,9
778,2015,10.0,4. P,9
779,2017,298.4,4. P,8
780,2019,6000.0,3. M,0
781,2020,406.1,4. P,0
782,2022,28.5,4. P,9
783,2024,34168.0,2. G,0
784,2025,10.0,4. P,9
785,2026,113.0,4. P,6
786,2027,137.0,4. P,9
787,2028,59.5,4. P,1
788,2029,112.0,4. P,9
789,2030,18.0,4. P,8
790,2031,809.0,4. P,1
791,2032,106.5,4. P,2
792,2034,6049.0,3. M,0
793,2035,1508.0,4. P,0
794,2036,45.5,4. P,9
795,2037,490.0,4. P,0
796,2038,12.0,4. P,9
797,2039,42.5,4. P,9
798,2040,10.0,4. P,9
799,2041,805.5,4. P,0
800,2042,10.5,4. P,9
801,2043,770.0,4. P,1
802,2044,10.0,4. P,9
803,2045,14.5,4. P,9
804,2046,20102.5,2. G,0
805,2049,187.0,4. P,9
806,2050,9.0,4. P,9
807,2051,845.0,4. P,8
808,2052,51.5,4. P,9
809,2054,40.0,4. P,9
810,2055,886.0,4. P,4
811,2056,2.0,4. P,6
812,2057,1237.0,4. P,1
813,2058,406.5,4. P,0
814,2059,1651.5,3. M,0
815,2062,10.0,4. P,9
816,2063,1758.0,3. M,3
817,2064,13.0,4. P,9
818,2065,211.5,4. P,9
819,2066,208.0,4. P,7
820,2067,1078.85,4. P,3
821,2068,45617.5,2. G,0
822,2069,10.0,4. P,9
823,2070,1303.5,4. P,5
824,2071,590.5,4. P,9
825,2072,11.0,4. P,9
826,2073,1057.5,4. P,9
827,2074,1.0,4. P,9
828,2075,231.0,4. P,0
829,2076,10.0,4. P,9
830,2077,10.0,4. P,9
831,2078,10.0,4. P,9
832,2080,10.0,4. P,9
833,2081,29.5,4. P,9
834,2083,250.0,4. P,8
835,2085,10.0,4. P,9
836,2086,10.0,4. P,9
837,2087,7404.4,3. M,0
838,2088,17.5,4. P,9
839,2089,225.5,4. P,4
840,2090,73.0,4. P,4
841,2092,162.5,4. P,0
842,2093,564.0,4. P,9
843,2094,18.5,4. P,9
844,2096,60.0,4. P,8
845,2097,10.0,4. P,9
846,2098,129.5,4. P,9
847,2099,31.5,4. P,9
848,2100,233.0,4. P,8
849,2101,589.5,4. P,9
850,2102,15.0,4. P,9
851,2103,55.5,4. P,9
852,2104,66.0,4. P,9
853,2105,249.5,4. P,5
854,2106,10.0,4. P,9
855,2107,27.0,4. P,9
856,2108,304.75,4. P,1
857,2109,12.0,4. P,9
858,2111,392.5,4. P,4
859,2112,82.0,4. P,7
860,2114,6394.0,3. M,7
861,2115,11.5,4. P,9
862,2116,30.0,4. P,9
863,2118,1515.0,4. P,6
864,2119,2875.5,3. M,0
865,2120,19.0,4. P,9
866,2121,221.0,4. P,8
867,2122,659.5,4. P,0
868,2124,45.0,4. P,9
869,2125,39.5,4. P,2
870,2126,1112.1,4. P,8
871,2128,418.5,4. P,1
872,2131,170.0,4. P,9
873,2132,679.5,4. P,0
874,2133,700.5,4. P,7
875,2134,10.0,4. P,9
876,2135,10.0,4. P,9
877,2136,150.0,4. P,4
878,2137,21.0,4. P,9
879,2138,489.6,4. P,9
880,2139,225.0,4. P,3
881,2140,1400.0,4. P,1
882,2142,159.0,4. P,4
883,2143,25.0,4. P,9
884,2144,16.0,4. P,9
885,2145,10.0,4. P,9
886,2146,9.9,4. P,9
887,2148,164.5,4. P,5
888,2149,444.0,4. P,0
889,2150,19.0,4. P,9
890,2151,10494.5,3. M,0
891,2152,10.0,4. P,9
892,2153,16777.5,2. G,0
893,2154,3.5,4. P,9
894,2155,100.0,4. P,0
895,2156,4.0,4. P,9
896,2157,843.0,4. P,5
897,2158,10.0,4. P,8
898,2159,2.0,4. P,9
899,2161,23.5,4. P,9
900,2162,10.0,4. P,9
901,2163,30503.0,2. G,4
902,2164,925.5,4. P,0
903,2165,255.0,4. P,9
904,2166,19.5,4. P,9
905,2167,300.0,4. P,3
906,2169,123.0,4. P,9
907,2170,1654.5,3. M,6
908,2171,11.0,4. P,9
909,2172,27.0,4. P,9
910,2173,5.0,4. P,9
911,2174,397.5,4. P,8
912,2175,12.5,4. P,8
913,2176,5.0,4. P,9
914,2178,10.0,4. P,9
915,2179,81.0,4. P,5
916,2180,9.5,4. P,9
