,index,IDC,MT_TOT,NB,KEYMAX,KEYMIN,KEYMAX2,KEYMIN2,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,Produit 0,Produit 1,Produit 2,Produit 3,Produit 4,Produit 5,Produit 6,PMG,PMG2,REC,RECENCE,MT90,MT30
1200,1200,2482,119.0,139,2014-11-01,2014-03-01,24179,24171,,,,,,,,,,,,,,,23.5,26.0,,14.0,,10.0,20.0,14.0,11.5,1.0,,,9.0,31.0,71.0,7.0,4. P,4,4,0,63.5,49.5
1201,1201,2483,82.0,85,2014-11-01,2014-04-01,24179,24172,,,,,,,,,,,,,,,,29.0,31.0,,1.0,,,,21.0,,,,82.0,,,,4. P,4,4,0,61.0,57.5
1202,1202,2484,10212.0,4859,2014-11-01,2014-03-01,24179,24171,,,,,,,,,,,,,,,136.5,1401.0,3148.5,780.0,951.5,979.5,942.0,612.0,1261.0,,,,3108.0,7065.5,29.0,9.5,3. M,3,4,0,5466.0,1372.0
1203,1203,2485,424.0,16,2014-03-01,2014-03-01,24171,24171,,,,,,,,,,,,,,,424.0,,,,,,,,,150.0,,,228.0,46.0,,,4. P,4,2,8,424.0,424.0
1204,1204,2487,10.0,1,2014-03-01,2014-03-01,24171,24171,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,10.0,,,,4. P,4,2,8,10.0,10.0
1205,1205,2488,1660.0,407,2014-10-01,2014-04-01,24178,24172,,,,,,,,,,,,,,,,442.0,451.0,281.5,121.0,124.0,109.0,131.5,,,12.0,,,57.0,1577.0,14.0,3. M,3,4,1,1174.5,506.0
1206,1206,2490,13.0,8,2014-03-01,2014-03-01,24171,24171,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,12.0,0.5,0.5,,4. P,4,2,8,13.0,13.0
1207,1207,2491,10.0,8,2014-03-01,2014-03-01,24171,24171,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,4.0,2.0,4.0,4. P,4,2,8,10.0,10.0
1208,1208,2492,405.0,41,2014-04-01,2014-03-01,24172,24171,,,,,,,,,,,,,,,12.0,393.0,,,,,,,,,,,405.0,,,,4. P,4,2,7,405.0,405.0
1209,1209,2493,56.5,32,2014-06-01,2014-03-01,24174,24171,,,,,,,,,,,,,,,46.5,,,10.0,,,,,,,,,34.0,22.0,0.5,,4. P,4,3,5,56.5,46.5
1210,1210,2494,21.0,4,2014-03-01,2014-03-01,24171,24171,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,20.0,0.5,0.5,,4. P,4,2,8,21.0,21.0
1211,1211,2495,35.5,44,2014-05-01,2014-04-01,24173,24172,,,,,,,,,,,,,,,,21.5,14.0,,,,,,,,,,17.0,2.0,14.5,2.0,4. P,4,2,6,35.5,35.5
