ID	DIF	IDC_TOT	IDC	MT	IDP
0	0	1985	1985	659809.5	GLOBAL
1	1	1943	991	1225612.2	GLOBAL
2	2	1872	697	651964.25	GLOBAL
3	3	1830	584	678243.85	GLOBAL
4	4	1751	498	525013.6	GLOBAL
5	5	1607	449	454087.25	GLOBAL
6	6	1413	413	315115.1	GLOBAL
7	7	1304	386	314235.9	GLOBAL
8	8	1182	383	260358.5	GLOBAL
9	9	1040	345	322995.35	GLOBAL
10	10	749	292	290876.6	GLOBAL
11	11	548	244	324116.3	GLOBAL
12	12	448	210	319201.9	GLOBAL
13	13	405	188	131500.8	GLOBAL
14	14	382	166	131244.8	GLOBAL
15	15	351	150	105490.1	GLOBAL
16	16	308	132	75647.3	GLOBAL
17	17	264	122	79196.6	GLOBAL
18	18	233	95	73661.55	GLOBAL
19	19	193	76	74043.75	GLOBAL
20	20	159	60	55110.55	GLOBAL
21	21	84	36	41369.75	GLOBAL
22	22	52	24	13435.35	GLOBAL
