,index,IDC,MT_TOT,NB,KEYMAX,KEYMIN,KEYMAX2,KEYMIN2,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-04-01,2014-05-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,Couple,Jackpot,Multi,Quarte,Quinte,Simple,Trio,PMG,PMG2,REC,RECENCE,MT90,MT30
751,751,1989,0.5,1,2014-02-01,2014-02-01,24170,24170,,,,,,,,,,,,,,0.5,,,,,,,,,0.5,,,,,4. P,4,2,9,0.5,0.5
752,752,1990,1.0,2,2014-02-01,2014-02-01,24170,24170,,,,,,,,,,,,,,1.0,,,,,,,,,0.5,0.5,,,,4. P,4,2,9,1.0,1.0
753,753,1991,16.0,6,2014-02-01,2014-02-01,24170,24170,,,,,,,,,,,,,,16.0,,,,,,,,,16.0,,,,,4. P,4,2,9,16.0,16.0
754,754,1994,2.0,2,2014-02-01,2014-02-01,24170,24170,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,1.0,,4. P,4,2,9,2.0,2.0
755,755,2001,2.0,2,2014-02-01,2014-02-01,24170,24170,,,,,,,,,,,,,,2.0,,,,,,,2.0,,,,,,,4. P,4,2,9,2.0,2.0
756,756,2002,1.5,3,2014-02-01,2014-02-01,24170,24170,,,,,,,,,,,,,,1.5,,,,,,,,,,1.5,,,,4. P,4,2,9,1.5,1.5
757,757,2006,6.0,3,2014-02-01,2014-02-01,24170,24170,,,,,,,,,,,,,,6.0,,,,,,,,,1.5,,4.5,,,4. P,4,2,9,6.0,6.0
758,758,2010,94.5,8,2014-02-01,2014-02-01,24170,24170,,,,,,,,,,,,,,94.5,,,,,,,,,81.5,,13.0,,,4. P,4,2,9,94.5,94.5
759,759,2011,21.0,7,2014-02-01,2014-02-01,24170,24170,,,,,,,,,,,,,,21.0,,,,,,,,9.5,,,11.5,,,4. P,4,2,9,21.0,21.0
760,760,2013,6.0,6,2014-02-01,2014-02-01,24170,24170,,,,,,,,,,,,,,6.0,,,,,,,,,,6.0,,,,4. P,4,2,9,6.0,6.0
761,761,2019,5.0,4,2014-05-01,2014-05-01,24173,24173,,,,,,,,,,,,,,,,5.0,,,,,3.0,,,,,2.0,,4. P,4,2,6,5.0,5.0
762,762,2114,10.0,2,2014-02-01,2014-02-01,24170,24170,,,,,,,,,,,,,,10.0,,,,,,,,,,,,10.0,,4. P,4,2,9,10.0,10.0
763,763,2153,4.0,1,2014-07-01,2014-07-01,24175,24175,,,,,,,,,,,,,,,,,4.0,,,,,,,,,4.0,,4. P,4,3,4,4.0,4.0
764,764,2186,5.0,1,2014-07-01,2014-07-01,24175,24175,,,,,,,,,,,,,,,,,5.0,,,,,,,5.0,,,,4. P,4,3,4,5.0,5.0
765,765,2266,26.5,6,2014-07-01,2014-07-01,24175,24175,,,,,,,,,,,,,,,,,26.5,,,,5.0,6.0,3.0,,,12.5,,4. P,4,3,4,26.5,26.5
766,766,2274,3.0,3,2014-09-01,2014-09-01,24177,24177,,,,,,,,,,,,,,,,,,,3.0,,,0.5,,,,2.0,0.5,4. P,4,3,2,3.0,3.0
767,767,2319,8.5,6,2014-07-01,2014-07-01,24175,24175,,,,,,,,,,,,,,,,,8.5,,,,,,0.5,7.5,0.5,,,4. P,4,3,4,8.5,8.5
768,768,2335,0.5,1,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,0.5,,,,,,,,,0.5,,,,4. P,4,2,7,0.5,0.5
769,769,2351,1.5,3,2014-07-01,2014-07-01,24175,24175,,,,,,,,,,,,,,,,,1.5,,,,,0.5,,0.5,0.5,,,4. P,4,3,4,1.5,1.5
770,770,2408,2.5,5,2014-07-01,2014-04-01,24175,24172,,,,,,,,,,,,,,,0.5,,2.0,,,,0.5,,,,2.0,,,4. P,4,3,4,0.5,0.5
771,771,2528,12.5,4,2014-07-01,2014-07-01,24175,24175,,,,,,,,,,,,,,,,,12.5,,,,,7.0,,5.5,,,,4. P,4,3,4,12.5,12.5
772,772,2542,5.5,3,2014-07-01,2014-07-01,24175,24175,,,,,,,,,,,,,,,,,5.5,,,,,3.5,,2.0,,,,4. P,4,3,4,5.5,5.5
773,773,2676,12.0,3,2014-07-01,2014-07-01,24175,24175,,,,,,,,,,,,,,,,,12.0,,,,,,,12.0,,,,4. P,4,3,4,12.0,12.0
774,774,2722,338.0,3,2014-09-01,2014-07-01,24177,24175,,,,,,,,,,,,,,,,,80.0,,258.0,,,,,,,338.0,,4. P,4,3,2,338.0,80.0
775,775,2732,10.0,3,2014-05-01,2014-05-01,24173,24173,,,,,,,,,,,,,,,,10.0,,,,,,,,,,10.0,,4. P,4,2,6,10.0,10.0
776,776,2754,4.0,3,2014-09-01,2014-09-01,24177,24177,,,,,,,,,,,,,,,,,,,4.0,,,,,,,4.0,,4. P,4,3,2,4.0,4.0
777,777,2881,10.0,1,2014-09-01,2014-09-01,24177,24177,,,,,,,,,,,,,,,,,,,10.0,,,,,,10.0,,,4. P,4,3,2,10.0,10.0
778,778,2985,100.0,2,2014-09-01,2014-09-01,24177,24177,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,100.0,4. P,4,3,2,100.0,100.0
779,779,3078,45.0,16,2014-07-01,2014-07-01,24175,24175,,,,,,,,,,,,,,,,,45.0,,,,15.0,,,11.0,4.0,15.0,,4. P,4,3,4,45.0,45.0
780,780,3164,127.0,8,2014-07-01,2014-07-01,24175,24175,,,,,,,,,,,,,,,,,127.0,,,,88.0,,,,23.0,16.0,,4. P,4,3,4,127.0,127.0
781,781,3212,46.5,6,2014-07-01,2014-07-01,24175,24175,,,,,,,,,,,,,,,,,46.5,,,,5.0,13.5,,,10.0,18.0,,4. P,4,3,4,46.5,46.5
782,782,3265,5.0,2,2014-07-01,2014-07-01,24175,24175,,,,,,,,,,,,,,,,,5.0,,,,2.5,,,,,2.5,,4. P,4,3,4,5.0,5.0
783,783,3306,28.0,3,2014-07-01,2014-07-01,24175,24175,,,,,,,,,,,,,,,,,28.0,,,,23.0,,5.0,,,,,4. P,4,3,4,28.0,28.0
784,784,3452,8.0,4,2014-07-01,2014-07-01,24175,24175,,,,,,,,,,,,,,,,,8.0,,,,,,8.0,,,,,4. P,4,3,4,8.0,8.0
785,785,3523,3.0,1,2014-07-01,2014-07-01,24175,24175,,,,,,,,,,,,,,,,,3.0,,,,,,,,3.0,,,4. P,4,3,4,3.0,3.0
786,786,3561,24.5,14,2014-09-01,2014-07-01,24177,24175,,,,,,,,,,,,,,,,,19.0,,5.5,,7.0,5.0,,,,12.5,,4. P,4,3,2,24.5,19.0
787,787,3595,2.0,3,2014-07-01,2014-07-01,24175,24175,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,4. P,4,3,4,2.0,2.0
788,788,3708,5.0,1,2014-07-01,2014-07-01,24175,24175,,,,,,,,,,,,,,,,,5.0,,,,,,,,5.0,,,4. P,4,3,4,5.0,5.0
789,789,3744,10.0,1,2014-07-01,2014-07-01,24175,24175,,,,,,,,,,,,,,,,,10.0,,,,,,,,10.0,,,4. P,4,3,4,10.0,10.0
790,790,3769,32.0,2,2014-07-01,2014-07-01,24175,24175,,,,,,,,,,,,,,,,,32.0,,,,,,,32.0,,,,4. P,4,3,4,32.0,32.0
791,791,3773,7.0,2,2014-07-01,2014-07-01,24175,24175,,,,,,,,,,,,,,,,,7.0,,,,,,,,,7.0,,4. P,4,3,4,7.0,7.0
792,792,3802,0.5,1,2014-07-01,2014-07-01,24175,24175,,,,,,,,,,,,,,,,,0.5,,,,,,,,0.5,,,4. P,4,3,4,0.5,0.5
793,793,3805,4.5,5,2014-07-01,2014-07-01,24175,24175,,,,,,,,,,,,,,,,,4.5,,,,4.0,,,,0.5,,,4. P,4,3,4,4.5,4.5
794,794,3823,10.0,3,2014-09-01,2014-09-01,24177,24177,,,,,,,,,,,,,,,,,,,10.0,,,2.0,,,,8.0,,4. P,4,3,2,10.0,10.0
795,795,3881,1.0,1,2014-08-01,2014-08-01,24176,24176,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,4. P,4,3,3,1.0,1.0
796,796,4183,16.0,6,2014-09-01,2014-09-01,24177,24177,,,,,,,,,,,,,,,,,,,16.0,,,5.0,,6.0,,2.0,3.0,4. P,4,3,2,16.0,16.0
797,797,4254,10.0,1,2014-09-01,2014-09-01,24177,24177,,,,,,,,,,,,,,,,,,,10.0,,,10.0,,,,,,4. P,4,3,2,10.0,10.0
798,798,4276,35.0,14,2014-09-01,2014-09-01,24177,24177,,,,,,,,,,,,,,,,,,,35.0,,19.0,,,,,16.0,,4. P,4,3,2,35.0,35.0
