,index,IDC,MT_TOT,NB,KEYMAX,KEYMIN,KEYMAX2,KEYMIN2,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-04-01,2014-05-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,Couple,Jackpot,Multi,Quarte,Quinte,Simple,Trio,PMG,PMG2,REC,RECENCE,MT90,MT30
646,646,1857,236.5,96,2014-02-01,2014-01-01,24170,24169,,,,,,,,,,,,,231.5,5.0,,,,,,,76.0,,25.0,,5.0,130.5,,4. P,4,2,9,236.5,236.5
647,647,1858,70.5,44,2014-02-01,2014-01-01,24170,24169,,,,,,,,,,,,,70.0,0.5,,,,,,,,5.5,6.5,8.5,4.5,40.5,5.0,4. P,4,2,9,70.5,70.5
648,648,1859,13.5,27,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,13.5,,,,,,,,3.0,,,,,10.5,,4. P,4,2,10,13.5,13.5
649,649,1860,2057.5,218,2014-02-01,2014-01-01,24170,24169,,,,,,,,,,,,,1982.5,75.0,,,,,,,53.0,50.0,337.0,346.0,118.0,439.0,714.5,3. M,3,2,9,2057.5,2057.5
650,650,1861,157.65,36,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,157.65,,,,,,,,,11.0,94.15,46.0,3.0,3.5,,4. P,4,2,10,157.65,157.65
651,651,1862,87.0,62,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,87.0,,,,,,,,48.0,1.5,12.5,4.0,1.0,20.0,,4. P,4,2,10,87.0,87.0
652,652,1864,38.5,32,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,38.5,,,,,,,,10.0,2.5,3.0,9.0,,14.0,,4. P,4,2,10,38.5,38.5
653,653,1865,969.5,329,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,969.5,,,,,,,,68.0,,115.0,33.0,565.5,41.0,147.0,4. P,4,2,10,969.5,969.5
654,654,1866,165.0,5,2014-02-01,2014-01-01,24170,24169,,,,,,,,,,,,,120.0,45.0,,,,,,,,,,165.0,,,,4. P,4,2,9,165.0,165.0
655,655,1867,150.0,7,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,150.0,,,,,,,,95.0,,,,,55.0,,4. P,4,2,10,150.0,150.0
656,656,1868,147.0,34,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,147.0,,,,,,,,107.0,,,,,40.0,,4. P,4,2,10,147.0,147.0
657,657,1869,404.2,143,2014-02-01,2014-01-01,24170,24169,,,,,,,,,,,,,345.7,58.5,,,,,,,,24.0,138.7,241.5,,,,4. P,4,2,9,404.2,404.2
658,658,1870,15.0,15,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,15.0,,,,,,,,15.0,,,,,,,4. P,4,2,10,15.0,15.0
659,659,1871,10.5,11,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,10.5,,,,,,,,8.0,,,,2.5,,,4. P,4,2,10,10.5,10.5
660,660,1872,77.5,49,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,77.5,,,,,,,,38.0,,,1.0,2.5,36.0,,4. P,4,2,10,77.5,77.5
661,661,1873,5.0,1,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,5.0,,,,,,,,,,5.0,,,,,4. P,4,2,10,5.0,5.0
662,662,1875,20.1,6,2014-02-01,2014-01-01,24170,24169,,,,,,,,,,,,,13.5,6.6,,,,,,,,,17.1,0.5,,,2.5,4. P,4,2,9,20.1,20.1
663,663,1876,205.1,127,2014-07-01,2014-01-01,24175,24169,,,,,,,,,,,,,201.6,3.0,,,0.5,,,,31.0,1.5,46.1,1.5,123.0,2.0,,4. P,4,3,4,204.6,204.6
664,664,1877,10.0,2,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,10.0,,,,,,,,,,10.0,,,,,4. P,4,2,10,10.0,10.0
665,665,1878,10.0,20,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,10.0,,,,,,,,5.0,,,,,5.0,,4. P,4,2,10,10.0,10.0
666,666,1881,2.0,2,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,,,1.0,,4. P,4,2,10,2.0,2.0
667,667,1882,33.75,11,2014-02-01,2014-01-01,24170,24169,,,,,,,,,,,,,10.0,23.75,,,,,,,,,15.75,8.0,,10.0,,4. P,4,2,9,33.75,33.75
668,668,1883,10.0,2,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,10.0,,,,,,,,,,,5.0,,5.0,,4. P,4,2,10,10.0,10.0
669,669,1885,154.3,247,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,154.3,,,,,,,,5.5,17.5,21.3,39.0,45.0,6.0,20.0,4. P,4,2,10,154.3,154.3
670,670,1886,21.5,39,2014-02-01,2014-01-01,24170,24169,,,,,,,,,,,,,19.5,2.0,,,,,,,,3.5,3.0,9.0,5.5,,0.5,4. P,4,2,9,21.5,21.5
671,671,1887,14.0,9,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,14.0,,,,,,,,3.0,,6.0,,2.0,3.0,,4. P,4,2,10,14.0,14.0
