	ID	IDC	MT_TOT	PMG	RECENCE
0	0	77	125.0	4. P	10
1	1	79	3086.2	3. M	10
2	2	83	7.6	4. P	13
3	3	89	198.0	4. P	10
4	4	90	401.0	4. P	10
5	5	93	3063.5	3. M	10
6	6	95	1557.0	4. P	10
7	7	96	511.5	4. P	10
8	8	102	23878.0	2. G	10
9	9	103	3949.5	3. M	2
10	10	104	1618.5	3. M	10
11	11	105	4953.0	3. M	10
12	12	106	4.0	4. P	11
13	13	133	3859.0	3. M	10
14	14	147	4922.5	3. M	10
15	15	151	2422.0	3. M	10
16	16	152	2851.5	3. M	10
17	17	153	115.0	4. P	13
18	18	160	54.0	4. P	14
19	19	168	9935.0	3. M	10
20	20	169	407.3	4. P	13
21	21	172	7918.6	3. M	9
22	22	175	13768.0	2. G	10
23	23	181	13139.5	2. G	10
24	24	188	2393.5	3. M	9
25	25	194	1280.5	4. P	10
26	26	202	71.0	4. P	14
27	27	211	188.8	4. P	14
28	28	221	3.0	4. P	21
29	29	227	13975.1	2. G	10
30	30	231	97.0	4. P	16
31	31	247	400.5	4. P	9
32	32	249	34.0	4. P	11
33	33	250	858.0	4. P	10
34	34	269	33343.3	2. G	9
35	35	271	208.5	4. P	10
36	36	273	821.0	4. P	16
37	37	275	705.2	4. P	10
38	38	279	988.0	4. P	4
39	39	302	1684.5	3. M	10
40	40	304	402.5	4. P	10
41	41	306	26.0	4. P	16
42	42	310	96.2	4. P	20
43	43	320	235.6	4. P	11
44	44	341	10.0	4. P	16
45	45	350	128.5	4. P	18
46	46	354	1928.5	3. M	10
47	47	374	341.35	4. P	10
48	48	378	1208.0	4. P	13
49	49	379	50.0	4. P	14
50	50	385	102.5	4. P	10
51	51	398	5.0	4. P	20
52	52	406	217.0	4. P	19
53	53	414	373.1	4. P	16
54	54	425	48.0	4. P	15
55	55	430	2993.0	3. M	10
56	56	469	196.0	4. P	10
57	57	471	359.0	4. P	10
58	58	491	1666.0	3. M	9
59	59	507	105.0	4. P	9
60	60	508	242.3	4. P	10
61	61	522	38.5	4. P	13
62	62	529	500.0	4. P	10
63	63	533	2.5	4. P	13
64	64	534	830.0	4. P	16
65	65	566	968.5	4. P	10
66	66	581	375.1	4. P	10
67	67	583	53631.0	1. TG	10
68	68	592	30.0	4. P	15
69	69	638	128.5	4. P	15
70	70	642	182.5	4. P	10
71	71	673	67.7	4. P	22
72	72	675	10045.25	3. M	9
73	73	686	718.0	4. P	9
74	74	687	117.0	4. P	10
75	75	709	1687.0	3. M	9
76	76	715	46.0	4. P	10
77	77	716	12002.35	2. G	9
78	78	728	532.5	4. P	15
79	79	731	185.5	4. P	19
80	80	736	6073.3	3. M	10
81	81	742	8.5	4. P	11
82	82	753	8906.4	3. M	7
83	83	755	1145.5	4. P	11
84	84	760	20.0	4. P	22
85	85	776	31.0	4. P	10
86	86	781	11187.1	3. M	9
87	87	787	62.0	4. P	10
88	88	792	7764.5	3. M	10
89	89	793	15622.1	2. G	10
90	90	795	344.5	4. P	10
91	91	799	51.0	4. P	12
92	92	802	1695.5	3. M	18
93	93	808	4.0	4. P	10
94	94	810	265.0	4. P	10
95	95	813	1089.0	4. P	10
96	96	821	34480.5	2. G	9
97	97	825	61.0	4. P	18
98	98	826	2564.5	3. M	10
99	99	828	448.5	4. P	9
100	100	833	29053.3	2. G	3
101	101	839	4.5	4. P	20
102	102	840	17070.5	2. G	10
103	103	843	6.5	4. P	20
104	104	849	12.0	4. P	20
105	105	858	1699.7	3. M	10
106	106	862	18.0	4. P	12
107	107	872	3526.5	3. M	10
108	108	876	13.5	4. P	21
109	109	902	20.0	4. P	22
110	110	908	2039.5	3. M	10
111	111	912	146.0	4. P	10
112	112	913	3977.65	3. M	9
113	113	915	1745.0	3. M	14
114	114	917	602.0	4. P	9
115	115	923	48.5	4. P	21
116	116	925	1138.5	4. P	10
117	117	926	2508.6	3. M	4
118	118	927	1188.0	4. P	13
