ID,IDC,MT_TOT,PMG,RECENCE
0,77,125.0,4. P,10
1,79,3086.2,3. M,10
2,83,7.6,4. P,13
3,89,198.0,4. P,10
4,90,401.0,4. P,10
5,93,3063.5,3. M,10
6,95,1557.0,4. P,10
7,96,511.5,4. P,10
8,102,23878.0,2. G,10
9,103,3949.5,3. M,2
10,104,1618.5,3. M,10
11,105,4953.0,3. M,10
12,106,4.0,4. P,11
13,133,3859.0,3. M,10
14,147,4922.5,3. M,10
15,151,2422.0,3. M,10
16,152,2851.5,3. M,10
17,153,115.0,4. P,13
18,160,54.0,4. P,14
19,168,9935.0,3. M,10
20,169,407.3,4. P,13
21,172,7918.6,3. M,9
22,175,13768.0,2. G,10
23,181,13139.5,2. G,10
24,188,2393.5,3. M,9
25,194,1280.5,4. P,10
26,202,71.0,4. P,14
27,211,188.8,4. P,14
28,221,3.0,4. P,21
29,227,13975.1,2. G,10
30,231,97.0,4. P,16
31,247,400.5,4. P,9
32,249,34.0,4. P,11
33,250,858.0,4. P,10
34,269,33343.3,2. G,9
35,271,208.5,4. P,10
36,273,821.0,4. P,16
37,275,705.2,4. P,10
38,279,988.0,4. P,4
39,302,1684.5,3. M,10
40,304,402.5,4. P,10
41,306,26.0,4. P,16
42,310,96.2,4. P,20
43,320,235.6,4. P,11
44,341,10.0,4. P,16
45,350,128.5,4. P,18
46,354,1928.5,3. M,10
47,374,341.35,4. P,10
48,378,1208.0,4. P,13
49,379,50.0,4. P,14
50,385,102.5,4. P,10
51,398,5.0,4. P,20
52,406,217.0,4. P,19
53,414,373.1,4. P,16
54,425,48.0,4. P,15
55,430,2993.0,3. M,10
56,469,196.0,4. P,10
57,471,359.0,4. P,10
58,491,1666.0,3. M,9
59,507,105.0,4. P,9
60,508,242.3,4. P,10
61,522,38.5,4. P,13
62,529,500.0,4. P,10
63,533,2.5,4. P,13
64,534,830.0,4. P,16
65,566,968.5,4. P,10
66,581,375.1,4. P,10
67,583,53631.0,1. TG,10
68,592,30.0,4. P,15
69,638,128.5,4. P,15
70,642,182.5,4. P,10
71,673,67.7,4. P,22
72,675,10045.25,3. M,9
73,686,718.0,4. P,9
