ID,IDC,MT_TOT,PMG,RECENCE
74,687,117.0,4. P,10
75,709,1687.0,3. M,9
76,715,46.0,4. P,10
77,716,12002.35,2. G,9
78,728,532.5,4. P,15
79,731,185.5,4. P,19
80,736,6073.3,3. M,10
81,742,8.5,4. P,11
82,753,8906.4,3. M,7
83,755,1145.5,4. P,11
84,760,20.0,4. P,22
85,776,31.0,4. P,10
86,781,11187.1,3. M,9
87,787,62.0,4. P,10
88,792,7764.5,3. M,10
89,793,15622.1,2. G,10
90,795,344.5,4. P,10
91,799,51.0,4. P,12
92,802,1695.5,3. M,18
93,808,4.0,4. P,10
94,810,265.0,4. P,10
95,813,1089.0,4. P,10
96,821,34480.5,2. G,9
97,825,61.0,4. P,18
98,826,2564.5,3. M,10
99,828,448.5,4. P,9
100,833,29053.3,2. G,3
101,839,4.5,4. P,20
102,840,17070.5,2. G,10
103,843,6.5,4. P,20
104,849,12.0,4. P,20
105,858,1699.7,3. M,10
106,862,18.0,4. P,12
107,872,3526.5,3. M,10
108,876,13.5,4. P,21
109,902,20.0,4. P,22
110,908,2039.5,3. M,10
111,912,146.0,4. P,10
112,913,3977.65,3. M,9
113,915,1745.0,3. M,14
114,917,602.0,4. P,9
115,923,48.5,4. P,21
116,925,1138.5,4. P,10
117,926,2508.6,3. M,4
118,927,1188.0,4. P,13
119,930,15.0,4. P,12
120,939,219.0,4. P,13
121,940,25.0,4. P,22
122,942,26.0,4. P,22
123,944,47.0,4. P,22
124,946,2970.7,3. M,9
125,948,179.5,4. P,21
126,949,55.0,4. P,22
127,951,1315.2,4. P,10
128,952,39.0,4. P,22
129,954,20.0,4. P,22
130,958,1040.2,4. P,9
131,959,27.0,4. P,21
132,961,3752.0,3. M,9
133,963,314.0,4. P,17
134,967,69.5,4. P,19
135,968,6.0,4. P,21
136,969,98.0,4. P,20
137,970,61.0,4. P,10
138,972,25.0,4. P,21
139,973,1.5,4. P,21
140,974,410.5,4. P,14
141,975,15.0,4. P,21
142,979,4.5,4. P,2
143,981,1529.5,4. P,2
144,985,244.0,4. P,17
145,987,3859.5,3. M,11
146,988,15.0,4. P,10
147,991,32.0,4. P,19
148,995,44210.8,1. TG,10
149,996,3701.25,3. M,17
150,997,100.0,4. P,20
151,998,8885.4,3. M,9
152,999,15.5,4. P,13
153,1002,2970.5,3. M,13
154,1003,22.5,4. P,20
155,1004,78.5,4. P,20
156,1006,261.5,4. P,10
157,1007,705.0,4. P,12
158,1008,5356.0,3. M,9
159,1010,213.0,4. P,10
160,1011,12100.5,2. G,9
161,1013,2069.0,3. M,9
162,1017,6.0,4. P,20
163,1018,4299.2,3. M,10
164,1019,18.5,4. P,13
165,1020,12854.0,2. G,2
166,1021,14.0,4. P,19
167,1024,1909.0,3. M,17
168,1026,1550.5,4. P,9
169,1027,14416.0,2. G,10
170,1028,1000.0,4. P,20
171,1029,6741.75,3. M,10
172,1030,20.0,4. P,20
173,1032,3.5,4. P,20
174,1035,3477.0,3. M,10
175,1036,704.5,4. P,4
176,1037,2652.2,3. M,10
177,1038,694.7,4. P,20
178,1042,246.5,4. P,15
179,1043,1528.0,4. P,9
180,1046,132.0,4. P,11
181,1049,684.0,4. P,16
182,1052,57.0,4. P,10
183,1053,11.0,4. P,9
184,1054,119.0,4. P,15
185,1055,2391.5,3. M,9
186,1056,160.0,4. P,17
187,1059,1194.5,4. P,10
188,1061,1915.5,3. M,11
189,1062,3054.5,3. M,10
190,1064,114399.5,1. TG,10
191,1065,305.0,4. P,11
192,1066,746.0,4. P,15
193,1067,8680.6,3. M,1
194,1068,206.6,4. P,11
195,1069,2625.0,3. M,14
196,1072,3074.5,3. M,10
197,1075,182.5,4. P,10
198,1076,2266.5,3. M,10
199,1077,21.0,4. P,19
200,1078,39.5,4. P,19
201,1080,4986.0,3. M,9
202,1081,318.0,4. P,10
203,1085,8333.35,3. M,10
204,1086,811.3,4. P,14
205,1087,2002.6,3. M,10
206,1088,27040.3,2. G,11
207,1090,283.5,4. P,10
208,1091,1386.0,4. P,9
209,1094,15.0,4. P,20
210,1096,168.0,4. P,19
211,1097,507.0,4. P,10
212,1098,25829.3,2. G,10
213,1099,2285.5,3. M,10
214,1101,69.0,4. P,19
215,1102,2810.5,3. M,10
216,1103,149.0,4. P,10
217,1104,11674.25,2. G,10
218,1105,5665.8,3. M,9
219,1106,241.5,4. P,11
220,1107,511.0,4. P,10
221,1108,1159.0,4. P,16
222,1110,43.0,4. P,4
223,1113,13599.0,2. G,6
224,1115,99801.5,1. TG,4
225,1116,2020.5,3. M,4
226,1118,125.0,4. P,13
227,1119,609.0,4. P,18
228,1120,8670.0,3. M,10
229,1124,12148.0,2. G,9
230,1125,13815.5,2. G,9
231,1126,15.0,4. P,19
232,1127,100.0,4. P,19
233,1129,140.0,4. P,10
234,1132,40.0,4. P,11
235,1133,356.0,4. P,9
236,1137,312.0,4. P,10
237,1140,36.5,4. P,13
238,1142,1838.5,3. M,10
239,1143,311.5,4. P,16
240,1144,3579.0,3. M,9
241,1145,779.0,4. P,4
242,1147,24163.0,2. G,15
243,1153,42882.7,1. TG,4
244,1154,3107.5,3. M,9
245,1156,740.0,4. P,2
246,1157,174.0,4. P,10
247,1165,111.0,4. P,10
248,1166,16722.5,2. G,4
249,1167,106.5,4. P,15
250,1169,774.0,4. P,9
251,1170,10.0,4. P,17
252,1171,973.55,4. P,9
253,1172,1961.5,3. M,10
254,1174,3751.0,3. M,10
255,1175,530.5,4. P,10
256,1176,271.0,4. P,12
257,1177,2840.8,3. M,2
258,1178,2686.0,3. M,11
259,1179,1541.5,4. P,12
260,1180,195.5,4. P,10
261,1181,2450.5,3. M,2
262,1182,111.0,4. P,11
263,1183,1354.0,4. P,10
264,1185,215.0,4. P,10
265,1186,417.5,4. P,2
266,1187,293.0,4. P,2
267,1188,13.0,4. P,13
268,1189,81.0,4. P,17
269,1190,253.0,4. P,10
270,1191,293.3,4. P,14
271,1193,488.0,4. P,10
272,1194,24993.5,2. G,9
273,1202,527.5,4. P,4
274,1203,8292.0,3. M,9
275,1204,2985.5,3. M,10
276,1206,2498.5,3. M,2
277,1207,4995.5,3. M,9
278,1208,10658.5,3. M,4
279,1209,383.75,4. P,15
280,1210,7118.75,3. M,13
281,1216,35.0,4. P,17
282,1217,698.5,4. P,6
283,1226,191.5,4. P,10
284,1227,74.5,4. P,15
285,1237,1596.5,3. M,4
286,1238,5757.0,3. M,10
287,1239,785.0,4. P,10
288,1244,26.0,4. P,16
289,1248,18562.0,2. G,2
290,1249,2573.5,3. M,10
291,1251,70.0,4. P,10
292,1253,60.5,4. P,14
293,1256,100.0,4. P,16
294,1258,139.5,4. P,16
295,1259,214.3,4. P,10
296,1263,115.5,4. P,10
297,1265,33.5,4. P,14
298,1266,3280.05,3. M,9
299,1267,1651.5,3. M,10
300,1268,583.5,4. P,14
301,1271,1033.0,4. P,10
302,1272,3295.9,3. M,4
303,1274,178.0,4. P,10
304,1279,15.0,4. P,16
305,1281,8184.0,3. M,9
306,1282,442.5,4. P,12
307,1283,841.5,4. P,9
308,1284,157.0,4. P,14
309,1287,400.5,4. P,15
310,1290,55.0,4. P,16
311,1299,147.5,4. P,11
312,1300,119.0,4. P,16
313,1303,342.0,4. P,15
314,1304,207.5,4. P,12
315,1305,16.0,4. P,16
316,1308,24.0,4. P,16
317,1311,31.6,4. P,16
318,1312,2386.1,3. M,10
319,1313,11.0,4. P,14
320,1314,1437.75,4. P,9
321,1315,11359.0,2. G,9
322,1316,1402.0,4. P,9
323,1318,892.5,4. P,15
324,1320,164.0,4. P,13
325,1321,678.0,4. P,2
326,1323,30.0,4. P,16
327,1325,29.0,4. P,15
328,1326,228.5,4. P,12
329,1328,382.5,4. P,12
330,1329,537.3,4. P,9
331,1331,20.0,4. P,15
332,1332,49.0,4. P,16
333,1333,63.7,4. P,15
334,1336,346.75,4. P,6
335,1338,2340.0,3. M,10
336,1339,6604.0,3. M,4
337,1342,96.0,4. P,13
338,1346,37.5,4. P,15
339,1347,934.0,4. P,13
340,1348,25858.0,2. G,4
341,1349,657.5,4. P,11
342,1350,14.0,4. P,12
343,1352,4047.0,3. M,9
344,1355,116.0,4. P,10
345,1359,3807.0,3. M,11
346,1361,1738.0,3. M,9
347,1362,1994.5,3. M,15
348,1364,16991.5,2. G,9
349,1365,20.0,4. P,10
350,1366,9.5,4. P,14
351,1367,324.4,4. P,14
352,1369,2734.9,3. M,9
353,1370,285.0,4. P,15
354,1371,104.0,4. P,10
355,1372,294.0,4. P,11
356,1374,195.0,4. P,14
357,1376,48.5,4. P,10
358,1378,97.0,4. P,15
359,1379,238.5,4. P,14
360,1380,578.5,4. P,10
361,1381,44.0,4. P,15
362,1382,15.0,4. P,15
363,1385,64.7,4. P,15
364,1386,88.5,4. P,11
365,1393,93.5,4. P,15
366,1394,3773.0,3. M,9
367,1396,446.0,4. P,10
368,1398,102.2,4. P,14
369,1399,20.5,4. P,15
370,1400,145.0,4. P,13
371,1401,86138.5,1. TG,2
372,1402,25.0,4. P,13
373,1404,7107.5,3. M,10
374,1406,25.0,4. P,15
375,1408,1767.0,3. M,10
376,1409,39.0,4. P,13
377,1410,1793.0,3. M,9
378,1414,199.0,4. P,10
379,1416,563.5,4. P,10
380,1420,39.0,4. P,11
381,1422,227.5,4. P,10
382,1423,68.5,4. P,14
383,1425,181.5,4. P,12
384,1428,33.0,4. P,14
385,1429,33.0,4. P,14
386,1432,2749.5,3. M,4
387,1434,1112.0,4. P,9
388,1435,15431.0,2. G,10
389,1436,421.0,4. P,11
390,1438,3078.0,3. M,10
391,1439,15.0,4. P,14
392,1441,55.5,4. P,13
393,1442,1006.0,4. P,10
394,1448,660.0,4. P,10
395,1449,34467.5,2. G,2
396,1450,3119.5,3. M,9
397,1451,348.0,4. P,9
398,1456,50.0,4. P,14
399,1459,1198.5,4. P,12
400,1462,30.5,4. P,14
401,1466,80.0,4. P,11
402,1468,1771.5,3. M,10
403,1469,981.5,4. P,4
404,1471,5163.0,3. M,9
405,1472,31.5,4. P,13
406,1473,673.5,4. P,10
407,1475,18.0,4. P,13
408,1477,656.5,4. P,9
409,1478,445.0,4. P,10
410,1483,1111.5,4. P,10
411,1486,454.0,4. P,10
412,1487,1681.0,3. M,10
413,1489,60.0,4. P,12
414,1494,12.5,4. P,10
415,1496,41.5,4. P,13
416,1497,680.5,4. P,9
417,1498,2205.5,3. M,10
418,1499,1534.0,4. P,10
419,1502,53.0,4. P,10
420,1507,490.0,4. P,10
421,1510,211.0,4. P,10
422,1511,147.0,4. P,13
423,1512,436.0,4. P,10
424,1522,543.0,4. P,10
425,1530,229.6,4. P,10
426,1533,17.5,4. P,12
427,1534,491.5,4. P,11
428,1535,2190.0,3. M,9
429,1536,3175.0,3. M,9
430,1538,326.5,4. P,11
431,1539,487.5,4. P,12
432,1543,16477.0,2. G,9
433,1544,579.5,4. P,10
434,1548,1350.0,4. P,10
435,1549,176.0,4. P,10
436,1550,2123.0,3. M,10
437,1551,477.5,4. P,10
438,1552,189.5,4. P,12
439,1553,2368.0,3. M,10
440,1554,45.0,4. P,11
441,1556,1346.5,4. P,4
442,1557,3051.0,3. M,10
443,1558,127.5,4. P,11
444,1559,77.5,4. P,12
445,1566,332.5,4. P,10
446,1567,1870.0,3. M,10
447,1569,4290.0,3. M,10
448,1571,10.0,4. P,10
449,1573,60.0,4. P,10
450,1574,230.0,4. P,10
451,1577,193.5,4. P,12
452,1578,77799.0,1. TG,9
453,1584,10830.0,3. M,9
454,1585,1331.5,4. P,9
455,1588,37.5,4. P,12
456,1589,19629.5,2. G,9
457,1598,18.0,4. P,11
458,1600,1338.75,4. P,10
459,1601,65.0,4. P,10
460,1602,388.0,4. P,10
461,1606,124.5,4. P,11
462,1608,58.5,4. P,11
463,1612,847.5,4. P,11
464,1614,65.5,4. P,10
465,1615,39344.0,1. TG,4
466,1616,1941.5,3. M,10
467,1618,519.6,4. P,10
468,1619,481.5,4. P,9
469,1621,590.0,4. P,11
470,1623,75.5,4. P,11
471,1625,169.0,4. P,10
472,1627,153.0,4. P,9
473,1628,74.0,4. P,11
474,1630,72.5,4. P,9
475,1631,53.5,4. P,10
476,1632,14.0,4. P,11
477,1634,24.5,4. P,11
478,1636,26.0,4. P,11
479,1637,4.5,4. P,11
480,1639,229.0,4. P,10
481,1641,48.0,4. P,11
482,1642,559.5,4. P,10
483,1643,444.5,4. P,10
484,1645,125.0,4. P,10
485,1646,35.0,4. P,10
486,1648,837.5,4. P,9
487,1650,49.0,4. P,11
488,1651,17.0,4. P,11
489,1652,255.0,4. P,9
490,1653,3790.0,3. M,10
491,1654,12.0,4. P,11
492,1655,41.0,4. P,10
493,1656,11.0,4. P,11
494,1657,23.0,4. P,11
495,1659,295.5,4. P,10
496,1663,1547.0,4. P,10
497,1664,258.0,4. P,11
498,1666,1364.0,4. P,10
499,1667,1011.0,4. P,11
500,1668,142.0,4. P,10
501,1669,23.0,4. P,11
502,1671,98.5,4. P,9
503,1672,620.5,4. P,10
504,1673,468.5,4. P,10
505,1674,352.0,4. P,10
506,1676,165.0,4. P,10
507,1680,375.0,4. P,11
508,1682,18.0,4. P,10
509,1683,1298.0,4. P,4
510,1684,11.0,4. P,11
511,1685,949.0,4. P,9
512,1687,13.0,4. P,11
513,1688,250.0,4. P,10
514,1690,199.0,4. P,10
515,1692,126.5,4. P,10
516,1694,2155.5,3. M,10
517,1695,468.5,4. P,4
518,1696,248.0,4. P,10
519,1697,51.0,4. P,11
520,1698,48.5,4. P,10
521,1700,25.0,4. P,11
522,1701,113.0,4. P,11
523,1702,4298.5,3. M,10
524,1703,10.0,4. P,11
525,1705,10.0,4. P,11
526,1706,1163.0,4. P,10
527,1707,284.0,4. P,10
528,1708,266.0,4. P,11
529,1709,407.5,4. P,10
530,1710,678.5,4. P,10
531,1711,10.0,4. P,11
532,1712,160.0,4. P,10
533,1713,10.0,4. P,10
534,1715,323.0,4. P,9
535,1717,29.5,4. P,11
536,1719,199.0,4. P,4
537,1720,2305.5,3. M,10
538,1722,97.0,4. P,10
539,1723,230.5,4. P,9
540,1724,10.0,4. P,11
541,1725,43.0,4. P,11
542,1726,149.5,4. P,10
543,1727,122.0,4. P,10
544,1728,45.5,4. P,11
545,1729,1444.1,4. P,9
546,1730,930.0,4. P,9
547,1732,1127.0,4. P,10
548,1734,10.0,4. P,11
549,1735,1566.65,4. P,2
550,1736,225.5,4. P,10
551,1737,18.0,4. P,11
552,1738,2113.0,3. M,10
553,1739,1126.0,4. P,9
554,1741,286.5,4. P,9
555,1742,36.5,4. P,11
556,1743,33.0,4. P,10
557,1744,98.0,4. P,10
558,1745,235.0,4. P,10
559,1746,8.0,4. P,10
560,1747,86.0,4. P,10
561,1749,623.0,4. P,10
562,1750,1891.0,3. M,4
563,1752,444.0,4. P,10
564,1753,169.0,4. P,10
565,1754,41.5,4. P,10
566,1755,2.0,4. P,10
567,1757,40.0,4. P,10
568,1758,122.0,4. P,9
569,1759,7.5,4. P,10
570,1760,238.5,4. P,9
571,1762,22.0,4. P,10
572,1763,10.5,4. P,10
573,1764,708.0,4. P,4
574,1765,179.0,4. P,10
575,1766,182.1,4. P,10
576,1768,121.5,4. P,10
577,1769,60.0,4. P,10
578,1770,548.5,4. P,10
579,1771,110.5,4. P,9
580,1772,87.0,4. P,10
581,1773,1969.0,3. M,10
582,1775,14.0,4. P,10
583,1776,24.0,4. P,10
584,1777,8.5,4. P,10
585,1778,26.0,4. P,10
586,1779,10.0,4. P,10
587,1780,10.0,4. P,10
588,1781,4.5,4. P,10
589,1782,592.5,4. P,9
590,1783,16561.0,2. G,10
591,1784,2616.0,3. M,4
592,1786,159.0,4. P,9
593,1787,342.0,4. P,2
594,1788,52.0,4. P,10
595,1789,16588.5,2. G,10
596,1790,69.0,4. P,10
597,1791,2746.0,3. M,10
598,1793,52.5,4. P,10
599,1795,392.0,4. P,9
600,1796,42.0,4. P,10
601,1797,10.0,4. P,10
602,1798,94.5,4. P,4
603,1799,13.0,4. P,10
604,1800,19.0,4. P,9
605,1801,732.5,4. P,10
606,1802,223.0,4. P,10
607,1803,10.0,4. P,10
608,1804,105.0,4. P,10
609,1805,128.0,4. P,10
610,1806,60.5,4. P,10
611,1807,163.5,4. P,10
612,1810,10.0,4. P,10
613,1811,138.0,4. P,10
614,1812,2648.0,3. M,9
615,1815,10.0,4. P,10
616,1816,10.0,4. P,10
617,1817,394.0,4. P,9
618,1818,555.5,4. P,9
619,1821,21.0,4. P,10
620,1823,138.0,4. P,4
621,1824,1830.5,3. M,10
622,1825,19.0,4. P,10
623,1826,160.5,4. P,10
624,1827,1482.5,4. P,9
625,1828,40.5,4. P,10
626,1830,17.0,4. P,10
627,1831,33.0,4. P,10
628,1832,17.5,4. P,10
629,1833,3651.5,3. M,9
630,1835,20.0,4. P,10
631,1837,10.0,4. P,10
632,1838,215.0,4. P,10
633,1839,17.0,4. P,10
634,1841,122.5,4. P,10
635,1842,43.0,4. P,9
636,1844,52.5,4. P,10
637,1845,5.0,4. P,10
638,1848,28.5,4. P,10
639,1849,153.0,4. P,10
640,1850,229.0,4. P,2
641,1851,162.0,4. P,10
642,1852,248.0,4. P,10
643,1854,53.0,4. P,10
644,1855,0.5,4. P,9
645,1856,8.0,4. P,10
646,1857,236.5,4. P,9
647,1858,70.5,4. P,9
648,1859,13.5,4. P,10
649,1860,2057.5,3. M,9
650,1861,157.65,4. P,10
651,1862,87.0,4. P,10
652,1864,38.5,4. P,10
653,1865,969.5,4. P,10
654,1866,165.0,4. P,9
655,1867,150.0,4. P,10
656,1868,147.0,4. P,10
657,1869,404.2,4. P,9
658,1870,15.0,4. P,10
659,1871,10.5,4. P,10
660,1872,77.5,4. P,10
661,1873,5.0,4. P,10
662,1875,20.1,4. P,9
663,1876,205.1,4. P,4
664,1877,10.0,4. P,10
665,1878,10.0,4. P,10
666,1881,2.0,4. P,10
667,1882,33.75,4. P,9
668,1883,10.0,4. P,10
669,1885,154.3,4. P,10
670,1886,21.5,4. P,9
671,1887,14.0,4. P,10
672,1889,30.0,4. P,10
673,1890,20.0,4. P,10
674,1891,60.0,4. P,9
675,1892,10.0,4. P,10
676,1893,8.0,4. P,10
677,1894,652.0,4. P,9
678,1895,2.5,4. P,10
679,1897,10.0,4. P,10
680,1898,111.0,4. P,10
681,1899,28.0,4. P,9
682,1900,2.0,4. P,10
683,1901,179.0,4. P,9
684,1902,56.0,4. P,9
685,1904,10.0,4. P,10
686,1905,39.5,4. P,10
687,1906,10.0,4. P,10
688,1907,10.0,4. P,10
689,1908,63.0,4. P,10
690,1909,987.5,4. P,4
691,1910,20.0,4. P,9
692,1912,1250.0,4. P,9
693,1914,522.0,4. P,9
694,1916,10.0,4. P,10
695,1918,10.0,4. P,10
696,1919,50.5,4. P,9
697,1920,18.0,4. P,10
698,1922,20.0,4. P,10
699,1924,69.0,4. P,10
700,1925,8.5,4. P,9
701,1926,112.5,4. P,10
702,1927,917.0,4. P,4
703,1928,48.0,4. P,10
704,1929,36.5,4. P,10
705,1930,134.0,4. P,9
706,1931,18.0,4. P,10
707,1933,737.0,4. P,9
708,1934,41.0,4. P,10
709,1936,20.0,4. P,10
710,1937,10.0,4. P,10
711,1938,39.0,4. P,10
712,1939,9.0,4. P,10
713,1940,71.0,4. P,10
714,1941,10.0,4. P,10
715,1942,19.0,4. P,10
716,1943,10.0,4. P,10
717,1944,18.5,4. P,10
718,1945,4.5,4. P,10
719,1947,98.5,4. P,10
720,1949,9.0,4. P,10
721,1950,4.0,4. P,9
722,1951,41.0,4. P,10
723,1952,10.5,4. P,10
724,1953,21.0,4. P,10
725,1954,54.0,4. P,9
726,1955,25.5,4. P,10
727,1956,88.0,4. P,9
728,1957,15.5,4. P,10
729,1958,108.5,4. P,9
730,1959,66.0,4. P,10
731,1961,126.0,4. P,9
732,1963,10.0,4. P,10
733,1964,37.5,4. P,10
734,1966,33.0,4. P,9
735,1967,20.0,4. P,10
736,1968,71.5,4. P,10
737,1971,27.5,4. P,10
738,1973,22.5,4. P,10
739,1974,2.5,4. P,10
740,1975,54.5,4. P,10
741,1978,56.0,4. P,9
742,1979,31.0,4. P,10
743,1981,96.0,4. P,10
744,1982,76.0,4. P,4
745,1983,28.0,4. P,9
746,1984,13.0,4. P,9
747,1985,6.0,4. P,9
748,1986,123.0,4. P,9
749,1987,17.0,4. P,10
750,1988,3.5,4. P,9
751,1989,0.5,4. P,9
752,1990,1.0,4. P,9
753,1991,16.0,4. P,9
754,1994,2.0,4. P,9
755,2001,2.0,4. P,9
756,2002,1.5,4. P,9
757,2006,6.0,4. P,9
758,2010,94.5,4. P,9
759,2011,21.0,4. P,9
760,2013,6.0,4. P,9
761,2019,5.0,4. P,6
762,2114,10.0,4. P,9
763,2153,4.0,4. P,4
764,2186,5.0,4. P,4
765,2266,26.5,4. P,4
766,2274,3.0,4. P,2
767,2319,8.5,4. P,4
768,2335,0.5,4. P,7
769,2351,1.5,4. P,4
770,2408,2.5,4. P,4
771,2528,12.5,4. P,4
772,2542,5.5,4. P,4
773,2676,12.0,4. P,4
774,2722,338.0,4. P,2
775,2732,10.0,4. P,6
776,2754,4.0,4. P,2
777,2881,10.0,4. P,2
778,2985,100.0,4. P,2
779,3078,45.0,4. P,4
780,3164,127.0,4. P,4
781,3212,46.5,4. P,4
782,3265,5.0,4. P,4
783,3306,28.0,4. P,4
784,3452,8.0,4. P,4
785,3523,3.0,4. P,4
786,3561,24.5,4. P,2
787,3595,2.0,4. P,4
788,3708,5.0,4. P,4
789,3744,10.0,4. P,4
790,3769,32.0,4. P,4
791,3773,7.0,4. P,4
792,3802,0.5,4. P,4
793,3805,4.5,4. P,4
794,3823,10.0,4. P,2
795,3881,1.0,4. P,3
796,4183,16.0,4. P,2
797,4254,10.0,4. P,2
798,4276,35.0,4. P,2
