	KEYMIN2	DIF	MT	IDC
227	24170	6	35652.3	64
228	24170	7	45691.5	52
229	24170	8	35972.45	60
230	24170	9	40242.5	46
231	24171	0	36361.55	142
232	24171	1	26160.4	61
233	24171	2	11339.95	39
234	24171	3	7659.2	37
235	24171	4	10095.95	32
236	24171	5	10118.5	30
237	24171	6	17151.5	29
238	24171	7	7403.0	24
239	24171	8	10232.0	26
240	24172	0	10076.1	122
241	24172	1	27521.15	21
242	24172	2	14098.75	14
243	24172	3	5450.5	11
244	24172	4	2814.9	9
245	24172	5	3573.0	10
246	24172	6	4499.5	10
247	24172	7	3674.65	11
248	24173	0	65116.9	109
249	24173	1	30412.9	45
250	24173	2	21427.25	27
251	24173	3	13444.75	23
252	24173	4	14556.25	21
253	24173	5	11459.5	20
254	24173	6	6872.0	19
255	24174	0	65272.5	194
256	24174	1	69694.0	59
257	24174	2	32185.1	44
258	24174	3	42876.0	36
259	24174	4	26892.0	34
260	24174	5	32485.7	26
261	24175	0	28802.2	144
262	24175	1	43455.25	37
263	24175	2	21643.5	28
264	24175	3	12634.1	25
265	24175	4	10423.0	23
266	24176	0	21446.5	79
267	24176	1	24687.8	51
268	24176	2	12294.1	40
269	24176	3	7545.4	27
270	24177	0	17744.5	42
271	24177	1	18065.5	28
272	24177	2	7400.0	15
273	24178	0	16935.1	71
274	24178	1	56407.5	48
275	24179	0	23109.0	42
