IDP	KEY	MT
23	201402	12286.5
23	201403	6029.5
23	201404	4542.0
23	201405	9083.5
23	201406	4311.5
23	201407	5719.0
23	201408	5927.5
23	201409	6436.5
23	201410	6870.0
23	201411	6493.0
24	201302	28.0
24	201303	97.0
24	201304	131.5
24	201305	209.5
24	201306	348.0
24	201307	330.5
24	201308	549.5
24	201309	597.5
24	201310	437.0
24	201311	813.0
24	201312	805.0
24	201401	1194.5
24	201402	1671.0
24	201403	1505.5
24	201404	1623.5
24	201405	2394.5
24	201406	2106.5
24	201407	1160.0
24	201408	1522.5
24	201409	1672.0
24	201410	1914.5
24	201411	1688.5
25	201302	51.0
25	201303	1182.0
25	201304	1011.5
25	201305	3532.0
25	201306	3258.0
25	201307	5146.0
25	201308	6508.0
25	201309	4460.0
25	201310	4075.5
25	201311	6463.5
25	201312	10326.0
25	201401	11147.0
25	201402	23509.5
25	201403	12576.5
25	201404	10467.5
25	201405	15410.5
25	201406	13509.0
25	201407	13702.5
25	201408	10805.0
25	201409	3532.5
25	201410	1742.0
25	201411	1081.0
26	201302	19.5
26	201303	485.0
26	201304	818.0
26	201305	932.0
26	201306	1629.0
26	201307	1488.0
26	201308	2010.5
26	201309	2157.5
26	201310	2254.5
26	201311	3044.0
26	201312	3186.0
26	201401	3945.5
26	201402	6348.0
26	201403	5053.5
26	201404	5002.5
26	201405	5340.0
26	201406	5582.0
26	201407	5289.5
26	201408	5809.5
26	201409	5029.0
26	201410	5545.0
26	201411	4644.5
27	201302	568.0
27	201303	2268.5
27	201304	2061.5
27	201305	2131.5
27	201306	2151.0
27	201307	1832.0
27	201308	3339.0
27	201309	2678.0
27	201310	1602.0
27	201311	4293.0
27	201312	3660.5
27	201401	6756.5
27	201402	10990.0
27	201403	10667.0
27	201404	10175.5
27	201405	10718.5
27	201406	7963.0
27	201407	8528.5
27	201408	9780.0
27	201409	10778.0
27	201410	10167.0
27	201411	7028.0
28	201302	282.0
28	201303	1214.5
28	201304	1394.5
28	201305	2249.5
28	201306	1732.0
28	201307	1491.5
28	201308	1974.5
28	201309	2068.0
28	201310	1364.0
28	201311	2299.0
28	201312	4110.5
28	201401	9897.5
28	201402	13335.0
28	201403	15974.0
28	201404	9609.5
28	201405	11280.0
28	201406	7726.0
28	201407	10188.5
28	201408	7407.0
28	201409	6981.5
28	201410	10264.0
28	201411	8634.5
29	201302	645.0
29	201303	1845.0
29	201304	2898.0
29	201305	7681.5
29	201306	8574.0
29	201307	11730.0
29	201308	15871.5
29	201309	10040.5
29	201310	9288.5
29	201311	12808.5
29	201312	16709.5
29	201401	21549.5
29	201402	31091.0
29	201403	25759.5
29	201404	19309.0
29	201405	40226.0
29	201406	23725.0
29	201407	27886.5
29	201408	26491.5
29	201409	28824.0
29	201410	26735.5
29	201411	21808.5
30	201302	40.0
30	201303	823.5
30	201304	893.0
30	201305	1013.0
30	201306	1087.0
30	201307	1356.0
30	201308	1839.0
30	201309	1324.0
30	201310	1411.0
30	201311	1288.0
30	201312	1851.0
30	201401	3248.5
30	201402	4903.0
30	201403	4208.0
30	201404	3531.0
30	201405	4096.5
30	201406	2759.5
30	201407	3458.0
30	201408	3979.0
30	201409	3804.0
30	201410	4089.0
30	201411	2996.5
31	201303	296.15
31	201304	1071.55
31	201305	1563.45
31	201306	1074.35
31	201307	912.7
31	201308	1627.15
31	201309	2039.05
31	201310	1763.5
31	201311	2237.15
31	201312	2886.65
31	201401	3301.15
31	201402	4244.0
31	201403	3935.85
31	201404	3870.35
31	201405	4276.35
31	201406	4021.25
31	201407	4877.55
31	201408	4497.35
31	201409	3677.05
31	201410	4487.35
31	201411	3001.2
32	201303	157.5
32	201304	593.0
32	201305	1084.5
32	201306	1091.0
32	201307	899.5
32	201308	1350.5
32	201309	1286.0
32	201310	791.5
32	201311	999.5
32	201312	1671.0
32	201401	5602.0
32	201402	7192.0
32	201403	5566.0
32	201404	3506.5
32	201405	15190.5
32	201406	5385.0
32	201407	6250.0
32	201408	5233.5
32	201409	4270.0
32	201410	4472.0
32	201411	3600.5
